IM.number,IM.name,IM.details,IM.narrative,IM.funding,youth,fp.rh,peace.security,democracy.humanrights.gov,health,edu.socialservices,eco.growth,human.ass,prog.dev.oversight
103612,PRONASAR\n,"\n103612\nImplementing Mechanism Name:\nPRONASAR\nPrime Partner:\nTo be Determined –Not in SAM, UK's Foreign, Commonwealth and Development Office (FCDO)\nAward Number:\n656-D2D-656-20-016-001\nImplementing Mechanism Type:\nThird Party Managed\nSource Agency:\nU.S. Agency for International Development\nImplementing Agency:\nU.S. Agency for International Development\nPlanned Funding:\n$5,250,000\nStart Date:\n12/23/2019\nEnd Date:\n12/30/2023\nTotal Estimated Cost:\n$20,000,000\n","\nThe National Rural Water Supply and Sanitation Program (PRONASAR) is a joint effort between the Government of Mozambique (GRM), development partners, and NGOs to increase rural water supply and sanitation at provincial, district, and local levels. PRONASAR's implementation plan includes investments from: the GRM; a Joint Fund financed by development partners; and additional partner funding. USAID and the U.K.’s Foreign, Commonwealth and Development Office (FCDO) have signed a Delegated Cooperation Agreement that provides for funding to the PRONASAR Joint Fund and is supporting technical assistance and construction of WASH infrastructure in rural areas. With FY 2021 funding, this activity will improve access to, and management of, WASH services in select rural areas of Mozambique in line with the GRM’s water strategy. PRONASAR's strengthening of water sector governance, financing, and institutions--priorities under the U.S. Global Water Strategy-- will complement existing USAID WASH activities by supporting government and local systems’ delivery of sustainable water and sanitation services. The strengthening of GRM WASH management and delivery systems is critical to Mozambique's goal of universal water access. PRONASAR will work in communities that lack sustainable access to safe water and sanitation and that are at high risk for diarrheal disease. PRONASAR will initially focus on activities within rural communities and peri-urban areas in the northern provinces. PRONOSAR will build 120 water supply systems; establish strategies and tools for performance monitoring; design tools to support the management of private water licensing authorities; develop a communication and advocacy strategy for social behavior change for open defecation free communities; develop products to pilot decentralized stations for emptying and treatment of fecal sludge in 5 districts; and produce a study on the energy efficiency of water supply systems.\n \n","\nSPSD\nAccount\nMO\nProgram\nDirect Funding\nPO  Total\nTotal Funding\nHL.8.1 Safe Water Access\nDA\nICS 08/15/2018 2.1\nNot Applicable\n$2,000,000\n-\n$2,000,000\nHL.8.2 Basic Sanitation\nDA\nICS 08/15/2018 2.1\nNot Applicable\n$2,000,000\n-\n$2,000,000\nHL.8.3 Water and Sanitation Policy and Governance\nDA\nICS 08/15/2018 2.1\nNot Applicable\n$1,250,000\n-\n$1,250,000\nTOTAL\n$5,250,000\n-\n$5,250,000\n",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
105269,USAID Education Sector Support Fund (FASE)\n,"\n105269\nImplementing Mechanism Name:\nUSAID Education Sector Support Fund (FASE)\nPrime Partner:\nTo be Determined - Unknown\nAward Number:\nTo be Determined\nImplementing Mechanism Type:\nTo be Determined\nSource Agency:\nU.S. Agency for International Development\nImplementing Agency:\nU.S. Agency for International Development\nPlanned Funding:\n$700,000\nStart Date:\n02/20/2022\nEnd Date:\n03/23/2023\nTotal Estimated Cost:\n$2,000,000\n","\nThe Education Sector Support Fund is a multi-donor common fund supporting the comprehensive development of the country's education sector. Its main objectives are: (1) ensuring equitable access to education, and continuity of education for all; 2) ensuring quality of learning; and 3) ensuring an education administration that is open, inclusive, and effective. The Ministry of Education prioritizes using children’s first language for reading and writing instruction in primary schools.The Mission will use FY 2021 funds to continue to train bilingual education teachers, develop and print books in local languages, and leverage donor funds to scale up USAID-supported bilingual instruction interventions in school districts in Nampula and Zambézia provinces. As the only donor working in bilingual education and reading, USAID’s pedagogical approach in bilingual education will influence sector performance in achieving measurable results by delivering evidence-based quality education programming, and by influencing policy formulation and resource allocation.\n \n \n","\nSPSD\nAccount\nMO\nProgram\nDirect Funding\nPO  Total\nTotal Funding\nES.1.2 Primary Education\nDA\nICS 08/15/2018 3.1\nNot Applicable\n$700,000\n-\n$700,000\nTOTAL\n$700,000\n-\n$700,000\n",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
105336,Last Mile Supply Chain\n,"\n105336\nImplementing Mechanism Name:\nLast Mile Supply Chain\nPrime Partner:\nVILLAGEREACH\nAward Number:\n72065618CA00001\nImplementing Mechanism Type:\nDirect Grant/Cooperative Agreement\nSource Agency:\nU.S. Agency for International Development\nImplementing Agency:\nU.S. Agency for International Development\nPlanned Funding:\n$365,000\nStart Date:\n05/14/2018\nEnd Date:\n05/13/2023\nTotal Estimated Cost:\n$14,788,953\n","\nThe Last Mile Supply Chain (LMSC) activity aims to improve the availability of medical commodities at the site level, where they are needed for disease prevention, diagnosis, and treatment. The activity will use FY 2021 funds to strengthen the effectiveness and efficiency of the health commodities transportation system. The program operationalizes specific strategies to foster self-reliance and to increase the host government's ability to contribute to and sustain the commodities delivery system throughout the country. LMSC will provide support and oversight to the implementation of the Mission’s new mechanism, CHEGAR, which will allow the Mission to contract directly with private sector entities and will improve working relationships between private sector actors and the public health system. Under LMSC’s oversight, CHEGAR will assume commodities distribution to the end of the supply chain. Monthly integrated deliveries will arrive in all provinces. LMSC will focus on strengthening the capacity of key stakeholders to support the successful execution of outsourced distribution in all provinces. This includes effectively building political support from the government at multiple levels, identifying and engaging the local private sector, applying proven transportation and logistics processes, and developing and implementing a monitoring and evaluation plan. LMSC will engage and build Central Medical Stores’ capacity for managing Fourth Party Logistics (4PL) contracts and managing and assessing the 4PL’s performance.\n","\nSPSD\nAccount\nMO\nProgram\nDirect Funding\nPO  Total\nTotal Funding\nHL.3.7 Cross-cutting Health Systems Strengthening (Malaria)\nGHP-USAID\nICS 08/15/2018 3.2\nNot Applicable\n$100,000\n-\n$100,000\nHL.6.8 Cross-cutting Health Systems Strengthening\nGHP-USAID\nICS 08/15/2018 3.2\nNot Applicable\n$65,000\n-\n$65,000\nHL.7.4 Cross-cutting Health Systems Strengthening (FP/RH)\nGHP-USAID\nICS 08/15/2018 3.2\nNot Applicable\n$100,000\n-\n$100,000\nHL.9.4 Cross-cutting Health Systems Strengthening (Nutrition)\nGHP-USAID\nICS 08/15/2018 3.2\nNot Applicable\n$100,000\n-\n$100,000\nTOTAL\n$365,000\n-\n$365,000\n",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
105337,Promoting the Quality of Medicines Plus (PQM+)\n,"\n105337\nImplementing Mechanism Name:\nPromoting the Quality of Medicines Plus (PQM+)\nPrime Partner:\nUnited States Pharmacopeial Convention, Inc., The\nAward Number:\n7200AA19CA00025\nImplementing Mechanism Type:\nDirect Grant/Cooperative Agreement\nSource Agency:\nU.S. Agency for International Development\nImplementing Agency:\nU.S. Agency for International Development\nPlanned Funding:\n$100,000\nStart Date:\n09/27/2019\nEnd Date:\n09/26/2024\nTotal Estimated Cost:\n$3,500,000\n","\nThe Promoting the Quality of Medicines (PQM+) activity improves the quality of essential health supplies by strengthening and creating an environment for the increased security and quality of medicines. The activity ensures the quality and safety of priority medicines related to maternal and child health and family planning, HIV/AIDS, TB, and Malaria. Using FY 2021 funds, PQM+ will redesign the National Quality Control Laboratory’s assessments and quality testing of medicines. PQM+ will use FY 2021 family planning funds to conduct Risk-Based Post-Market Surveillance, with the aim of assessing the quality of contraceptive implants in circulation throughout the national supply chain. It is expected that the result will be used to guide the National Medicines Regulatory Authority in taking appropriate action, based on evidence, to ensure the quality of medicines.\n","\nSPSD\nAccount\nMO\nProgram\nDirect Funding\nPO  Total\nTotal Funding\nHL.7.6 Procurement and Supply Chain (FP/RH)\nGHP-USAID\nICS 08/15/2018 3.2\nNot Applicable\n$100,000\n-\n$100,000\nTOTAL\n$100,000\n-\n$100,000\n",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
105342,PMI Vector Link Project\n,"\n105342\nImplementing Mechanism Name:\nPMI Vector Link Project\nPrime Partner:\nAbt Associates Inc.\nAward Number:\nAID-OAA-I-17-00008\nImplementing Mechanism Type:\nDirect Contracts\nSource Agency:\nU.S. Agency for International Development\nImplementing Agency:\nU.S. Agency for International Development\nPlanned Funding:\n$1,060,000\nStart Date:\n09/30/2017\nEnd Date:\n09/29/2022\nTotal Estimated Cost:\n$28,007,000\n","\nThis activity aims to reduce malaria-related morbidity and mortality in Zambézia province by supporting the Government of Mozambique (GRM) in its implementation of targeted Indoor Residual Spraying (IRS) operations and entomological data collection, in alignment with the National Vector Control Strategy. Using FY 2021 funding, VectorLink will support the GRM’s spraying of approximately 350,000 structures in five districts of Zambézia province. Zambézia has among the highest malaria prevalence in the country. PMI-supported activities will include: procurement of equipment and supplies; training of GRM and seasonal personnel; supervision, monitoring and evaluation; and environmental compliance. In addition to support for direct implementation in Zambézia, this activity will strengthen the capacity of the national program to implement IRS throughout the country. Using FY 2021 funding, this mechanism will also train trainers and provide technical assistance to prepare the national government for its own IRS activities, including support for environmental compliance in Nampula province. Additionally, this funding will support direct implementation of entomological monitoring activities in Zambézia and Nampula provinces. VectorLink will support the GRM’s implementation of entomological monitoring activities throughout central and northern Mozambique, including support for insectary and animal house requirements, as well as training for provincial staff. These entomological data are necessary for the GRM to select the most appropriate vector control interventions and monitor the effectiveness of each. The long-term goal of this project is to strengthen the GRM capacity to lead successful and cost-effective vector control interventions.\n","\nSPSD\nAccount\nMO\nProgram\nDirect Funding\nPO  Total\nTotal Funding\nHL.3.3 Indoor Residual Spraying (IRS) to Prevent Malaria\nGHP-USAID\nICS 08/15/2018 3.2\nNot Applicable\n$1,060,000\n-\n$1,060,000\nTOTAL\n$1,060,000\n-\n$1,060,000\n",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
105345,Peace Corps SPA PAPA Inter-agency Agreement No. 5\n,"\n105345\nImplementing Mechanism Name:\nPeace Corps SPA PAPA Inter-agency Agreement No. 5\nPrime Partner:\nU.S. Peace Corps\nAward Number:\n72EGEE18T00001\nImplementing Mechanism Type:\nOther USG Direct\nSource Agency:\nU.S. Agency for International Development\nImplementing Agency:\nU.S. Peace Corps\nPlanned Funding:\n$20,000\nStart Date:\n08/13/2018\nEnd Date:\n08/13/2023\nTotal Estimated Cost:\n$250,000\n","\nPeace Corps opened its program in Mozambique in 1998 and continues to operate under a Memorandum of Understanding signed by the American Embassy and the Mozambican Ministry of Education. Peace Corps Health Volunteers work in a variety of placements, including small community-based organizations, large international non-governmental organizations’ outreach programs, and Mozambican governmental institutions, such as the Provincial Health Directorates and public health facilities. Peace Corps Volunteers (PCVs) contribute to the reduction of Mozambique’s malaria burden by supporting community-based communications activities promoting the adoption of protective behaviors, such as the use of insecticide treated bed nets. These activities align closely with the Mozambique National Malaria Control Program Strategic Plan, which prioritizes community involvement for malaria behavioral change. The Mission will use FY 2021 funding to continue its support of Peace Corps malaria behavioral change activities.\n","\nSPSD\nAccount\nMO\nProgram\nDirect Funding\nPO  Total\nTotal Funding\nHL.3.5 Epidemic Preparedness and Response\nGHP-USAID\nICS 08/15/2018 3.2\nNot Applicable\n$20,000\n-\n$20,000\nTOTAL\n$20,000\n-\n$20,000\n",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
105352,Transform Nutrition in Nampula\n,"\n105352\nImplementing Mechanism Name:\nTransform Nutrition in Nampula\nPrime Partner:\nTo be Determined –Not in SAM, ADPP Mozambique\nAward Number:\n72065619CA000006\nImplementing Mechanism Type:\nDirect Grant/Cooperative Agreement\nSource Agency:\nU.S. Agency for International Development\nImplementing Agency:\nU.S. Agency for International Development\nPlanned Funding:\n$4,722,283\nStart Date:\n09/11/2019\nEnd Date:\n09/30/2024\nTotal Estimated Cost:\n$19,499,194\n","\nThe Transform Nutrition (TN) activity aims to strengthen host government capacity to plan and manage nutrition programming, increase adoption of optimal nutrition and water, sanitation, and hygiene (WASH) behaviors, increase understanding of and access to a diverse diet, and increase access to quality services and products for nutrition. It integrates funds from nutrition, maternal and child health (MCH), and WASH.With FY 2021 funds, the activity will continue to support Nampula, the country’s most populous province, which also has the nation’s worst nutrition indicators, in its efforts to improve the nutrition of pregnant and lactating women, adolescent girls, and children under age two. Working primarily at the community level alongside government counterparts, TN will develop a replicable model to improve nutritional status by strengthening social behavior change, improving dietary diversity, and strengthening service delivery by strengthening the links between community and health facilities. Implementation research will be utilized to assess the impact of interventions. TN will provide technical assistance to ensure that front-line community health workers have the capacity to support key behavioral changes including early, exclusive and continued breastfeeding and consumption of age-appropriate complementary foods among target populations. Alongside government counterparts, TN aims to improve household WASH practices and build demand for improved basic sanitation including Open Defecation Free communities. TN will strengthen community service delivery of Maternal, Newborn, and Child Health services, immunization and Family Planning including linkages with the health facilities.\n","\nSPSD\nAccount\nMO\nProgram\nDirect Funding\nPO  Total\nTotal Funding\nHL.6.8 Cross-cutting Health Systems Strengthening\nGHP-USAID\nICS 08/15/2018 3.2\nNot Applicable\n$406,000\n-\n$406,000\nHL.7.4 Cross-cutting Health Systems Strengthening (FP/RH)\nGHP-USAID\nICS 08/15/2018 3.2\nNot Applicable\n$194,000\n-\n$194,000\nHL.8.2 Basic Sanitation\nDA\nICS 08/15/2018 3.2\nNot Applicable\n$622,283\n-\n$622,283\nHL.9.1 Promotion of Improved Nutrition Practices\nGHP-USAID\nICS 08/15/2018 3.2\nNot Applicable\n$1,341,667\n-\n$1,341,667\nHL.9.2 Population-based Nutrition Service Delivery\nGHP-USAID\nICS 08/15/2018 3.2\nNot Applicable\n$863,333\n-\n$863,333\nHL.9.3 Nutrition Enabling Environment and Capacity\nGHP-USAID\nICS 08/15/2018 3.2\nNot Applicable\n$1,295,000\n-\n$1,295,000\nTOTAL\n$4,722,283\n-\n$4,722,283\n",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
105386,Local Empowerment to Advance Development (USAID LEAD)\n,"\n105386\nImplementing Mechanism Name:\nLocal Empowerment to Advance Development (USAID LEAD)\nPrime Partner:\nTo be Determined –Not in SAM, EUROSIS\nAward Number:\n72065621C00002\nImplementing Mechanism Type:\nDirect Contracts\nSource Agency:\nU.S. Agency for International Development\nImplementing Agency:\nU.S. Agency for International Development\nPlanned Funding:\n$350,000\nStart Date:\n03/01/2021\nEnd Date:\n02/28/2026\nTotal Estimated Cost:\n$4,896,947\n","\nWith FY 2021 funds, USAID/Mozambique will support the Local Empowerment to Advance Development (LEAD) activity to increase the sustainability of Mozambican Civil Society Organizations (CSOs), improve CSO institutional capacity and contribute to development outcomes in Mozambique. By building the capacity of local CSOs to plan, finance, and implement solutions to local development challenges, the Mission will help ensure the sustainability of development initiatives and will broaden the partner base for future initiatives. The LEAD activity will address key capacity development gaps across sectors which limit the effectiveness of organizations to achieve sustainable and significant impact, be accountable to their constituents, and identify and respond to funding opportunities. This activity will fund assessments to identify USAID recipients’ areas of need to be addressed through technical assistance, training, mentoring, coaching, and support. It will also provide oversight to ensure sustainable results. Based on the assessment results, the activity will facilitate the preparation of a prioritized action plan by the implementing partner with estimated completion dates, individuals responsible for completion, and other necessary data for implementation and follow-up. The LEAD activity was recently awarded and will be funded with a mix of prior year, current year, and future year funds. Funding sources will include nutrition, maternal and child health, family planning, PEPFAR, education, democracy rights and governance, and other program areas to be determined.\n","\nSPSD\nAccount\nMO\nProgram\nDirect Funding\nPO  Total\nTotal Funding\nHL.6.8 Cross-cutting Health Systems Strengthening\nGHP-USAID\nICS 08/15/2018 3.1\nNot Applicable\n$50,000\n-\n$50,000\nHL.7.4 Cross-cutting Health Systems Strengthening (FP/RH)\nGHP-USAID\nICS 08/15/2018 3.1\nNot Applicable\n$100,000\n-\n$100,000\nES.1.2 Primary Education\nDA\nICS 08/15/2018 3.1\nNot Applicable\n$200,000\n-\n$200,000\nTOTAL\n$350,000\n-\n$350,000\n",FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
105394,Integrated Social Behavior Change Communication (SBCC) activity\n,"\n105394\nImplementing Mechanism Name:\nIntegrated Social Behavior Change Communication (SBCC) activity\nPrime Partner:\nTo be Determined –Not in SAM, PIRCOM\nAward Number:\n72065620CA00002\nImplementing Mechanism Type:\nDirect Grant/Cooperative Agreement\nSource Agency:\nU.S. Agency for International Development\nImplementing Agency:\nU.S. Agency for International Development\nPlanned Funding:\n$760,000\nStart Date:\n11/04/2019\nEnd Date:\n11/03/2024\nTotal Estimated Cost:\n$5,998,326\n","\nThe Interreligious Platform Against Malaria (PIRCOM) activity’s “Health for Faith Project” strives to improve the behaviors of youth, pregnant and lactating women, newborns, children under five, and members of households, in the prevention and treatment of malaria infections. It also addresses nutrition, maternal health, family planning, neonatal/child health and HIV/AIDS through complementary communication approaches to behavior change. With FY 2021 funds, PIRCOM will continue disseminating messages through its network of trained religious leaders. PIRCOM will center its dissemination activities on Community Radio dialogues with small groups of men and women (maximum group size of 17 due to current COVID-19 restrictions). Additionally, religious leaders will use sermons to pass key messages to their congregations. PIRCOM will also introduce a package designed for adolescents which includes a family planning component that creates a referral and counter-referral system between the health unit and religious leaders. PIRCOM will train referral health unit staff in select districts to help facilitate and manage these referrals. PIRCOM will interact with boys and girls at Islamic schools, using sports, debates, and reading contests as interactive vehicles. The activity will incorporate nutrition, maternal and child health, family planning, malaria, HIV and COVID activities, to ensure a cohesive, high-impact, integrated approach, able to reach under-served populations.\n \n","\nSPSD\nAccount\nMO\nProgram\nDirect Funding\nPO  Total\nTotal Funding\nHL.3.1 Diagnosis and Treatment with Artemisinin-Based Combination Therapies\nGHP-USAID\nICS 08/15/2018 3.2\nNot Applicable\n$350,000\n-\n$350,000\nHL.6.1 Birth Preparedness and Maternity Services\nGHP-USAID\nICS 08/15/2018 3.2\nNot Applicable\n$75,000\n-\n$75,000\nHL.6.6 Treatment of Child Illness\nGHP-USAID\nICS 08/15/2018 3.2\nNot Applicable\n$100,000\n-\n$100,000\nHL.7.2 Communication and Knowledge Management (FP/RH)\nGHP-USAID\nICS 08/15/2018 3.2\nNot Applicable\n$135,000\n-\n$135,000\nHL.9.1 Promotion of Improved Nutrition Practices\nGHP-USAID\nICS 08/15/2018 3.2\nNot Applicable\n$100,000\n-\n$100,000\nTOTAL\n$760,000\n-\n$760,000\n",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
107390,Premier Promoting Innovative and Resilient Agriculture Market Systems Activity\n,"\n107390\nImplementing Mechanism Name:\nPremier Promoting Innovative and Resilient Agriculture Market Systems Activity\nPrime Partner:\nTo be Determined - Unknown\nAward Number:\nTo be Determined\nImplementing Mechanism Type:\nDirect Grant/Cooperative Agreement\nSource Agency:\nU.S. Agency for International Development\nImplementing Agency:\nU.S. Agency for International Development\nPlanned Funding:\n$4,616,000\nStart Date:\n12/01/2021\nEnd Date:\n11/30/2026\nTotal Estimated Cost:\n$20,000,000\n","\nFeed the Future Premier: Promoting Innovative and Resilient Agriculture Market Systems (FTF-Premier) activity is a five-year investment to create sustainable change in agricultural markets and food systems in Mozambique. FTF-Premier will focus on increased incomes, employment, and resilience in the agriculture systems where 80% of Mozambicans earn their living. The activity will provide technical and financial support to producers, agribusinesses, and other system actors who directly participate in agricultural value chains, or support these systems. The investments made under FTF-Premier will build on the development gains made by FTF-Inova, and will leverage the investments of USAID and other donors to increase adoption of improved technologies, reduce post-harvest losses, and strengthen business organization and managerial skills to increase the competitiveness of value chains. Using FY 2021 funds, FTF-Premier will support change in input and service markets to reach last mile beneficiaries, and link producers to markets, while prioritizing activities to generate youth and women entrepreneurship and employment. The activity will foster a co-creation approach to allow private companies to meet international and domestic demand for higher value products, and to continue to incentivize innovations through cost-share investments. FTF-Premier will support growth-oriented agricultural market and food system development and align private and public sector incentives to drive positive change.\n","\nSPSD\nAccount\nMO\nProgram\nDirect Funding\nPO  Total\nTotal Funding\nEG.3.2 Agriculture Sector Capacity\nDA\nICS 08/15/2018 2.1\nNot Applicable\n$4,616,000\n-\n$4,616,000\nTOTAL\n$4,616,000\n-\n$4,616,000\n",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
107394,Supporting the Policy Enabling Environment for Development (USAID SPEED)\n,"\n107394\nImplementing Mechanism Name:\nSupporting the Policy Enabling Environment for Development (USAID SPEED)\nPrime Partner:\nDAI Global, LLC\nAward Number:\n7200AA18D00008/72065621F00004\nImplementing Mechanism Type:\nDirect Contracts\nSource Agency:\nU.S. Agency for International Development\nImplementing Agency:\nU.S. Agency for International Development\nPlanned Funding:\n$4,585,000\nStart Date:\n03/31/2022\nEnd Date:\n03/20/2026\nTotal Estimated Cost:\n$39,900,000\n","\nWith FY 2021 funds, the Supporting the Policy Enabling Environment for Development (SPEED) activity will assist private sector, civil society, and government actors to strategically analyze, improve, and implement laws, policies, and administrative procedures in key sectors that support citizen-centered development and economic growth while also improving biodiversity in Mozambique. Technical assistance will strengthen policy actors’ abilities by sharing best practices through short-term and long-term mentoring. Group training and virtual outreach will be used to engage diverse stakeholders on policy implementation and changes in administrative procedures. SPEED will develop informational materials, including online resources, to spread information to a broader group of stakeholders in civil society and the private sector. The activity will direct technical assistance and provide small grants to local organizations to strengthen capacity to influence policy development and implementation. SPEED will engage new partners in biodiversity conservation to extend its programmatic focus to Mozambique’s vast marine reserves, continue to strengthen counter wildlife trafficking, and pilot ecosystem-based adaptation to climate change. The activity will support policy reform and implementation that strengthens economic governance, public financial management, combats corruption, and enhances the role of civil society. Improved agriculture policy will promote economic diversification and strengthen competitiveness of the agriculture sector to increase incomes and create jobs. SPEED will provide technical assistance to improve the policy environment for Mozambique’s private health sector through diversified approaches and interventions. This will include capacity building for private health sector associations to identify policy reform needs and increase their engagement in the policy making process, promoting international good practices in the health sector.\n","\nSPSD\nAccount\nMO\nProgram\nDirect Funding\nPO  Total\nTotal Funding\nDR.2.4 Anti-Corruption Reforms\nDA\nICS 08/15/2018 2.1\nNot Applicable\n$640,000\n-\n$640,000\nEG.3.1 Agriculture Enabling Environment\nDA\nICS 08/15/2018 2.1\nNot Applicable\n$2,000,000\n-\n$2,000,000\nEG.10.2 Biodiversity\nDA\nICS 08/15/2018 2.1\nNot Applicable\n$1,945,000\n-\n$1,945,000\nTOTAL\n$4,585,000\n-\n$4,585,000\n",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
107395,FTF Integrated Resilience in Nutrition and Agriculture (FFT-RESINA)\n,"\n107395\nImplementing Mechanism Name:\nFTF Integrated Resilience in Nutrition and Agriculture (FFT-RESINA)\nPrime Partner:\nTo be Determined - Unknown\nAward Number:\nTo be Determined\nImplementing Mechanism Type:\nTo be Determined\nSource Agency:\nU.S. Agency for International Development\nImplementing Agency:\nU.S. Agency for International Development\nPlanned Funding:\n$6,100,000\nStart Date:\n12/01/2021\nEnd Date:\n11/30/2026\nTotal Estimated Cost:\n$29,500,000\n","\nThe Feed the Future Mozambique Integrated Resilience in Nutrition and Agriculture (FFT-RESINA) activity is a five-year cross-sectoral investment to increase the resilience of systems and people in the defined Resilience Focus Zone (RFZ) which includes Nampula and Zambézia with a focus on increasing agricultural productivity, incomes, market linkages, and nutrition and food security outcomes. The activity will layer, integrate, and sequence programming in coordination with other USAID mechanisms, including the Bureau for Humanitarian Assistance (BHA) Resilience and Food Security Assistance (RFSA) program that is currently under procurement. FTF-RESINA will combine WASH, Agriculture, and Nutrition funding to (1) identify and address gaps in programmatic approaches in target zones, (2) effectively integrate emergency and development programming, (3) address key drivers of chronic poverty, (4) reduce vulnerability, and (5) mitigate against recurrent shocks and stresses. FTF-RESINA will focus on assessing the current context of the RFZ to identify the most appropriate system-level interventions to address drivers of chronic poverty, while also working to mitigate negative impacts from recurrent natural and human-caused disasters. These assessments will be used to develop a context-specific and context-responsive approach. Potential areas of targeted support will include agricultural entrepreneurship, youth in agriculture, seed systems, climate smart agriculture, food security, food fortification, nutrition-sensitive agriculture, value addition, multi-use water systems, food systems innovations, and information systems.\n","\nSPSD\nAccount\nMO\nProgram\nDirect Funding\nPO  Total\nTotal Funding\nHL.8.1 Safe Water Access\nDA\nICS 08/15/2018 2.1\nNot Applicable\n$1,000,000\n-\n$1,000,000\nHL.9.1 Promotion of Improved Nutrition Practices\nGHP-USAID\nICS 08/15/2018 2.1\nNot Applicable\n$1,000,000\n-\n$1,000,000\nEG.3.2 Agriculture Sector Capacity\nDA\nICS 08/15/2018 2.1\nNot Applicable\n$2,600,000\n-\n$2,600,000\nEG.3.3 Nutrition-Sensitive Agriculture\nDA\nICS 08/15/2018 2.1\nNot Applicable\n$1,500,000\n-\n$1,500,000\nTOTAL\n$6,100,000\n-\n$6,100,000\n",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
107398,Environmental Security and Resilience in Northern Mozambique (ECOSMART-2)\n,"\n107398\nImplementing Mechanism Name:\nEnvironmental Security and Resilience in Northern Mozambique (ECOSMART-2)\nPrime Partner:\nWILDLIFE CONSERVATION SOCIETY\nAward Number:\n72065621CA00003\nImplementing Mechanism Type:\nDirect Grant/Cooperative Agreement\nSource Agency:\nU.S. Agency for International Development\nImplementing Agency:\nU.S. Agency for International Development\nPlanned Funding:\n$1,500,000\nStart Date:\n07/07/2021\nEnd Date:\n07/06/2026\nTotal Estimated Cost:\n$10,000,000\n","\nNiassa Special Reserve is a biologically diverse landscape shared by Niassa and Cabo Delgado Provinces, threatened by transnational wildlife crime syndicates, illegal logging, mining, fishing, and violent extremism. This activity is a follow-on award to the six-year $14.8 million ECOSMART: The Alliance for Ecosystem Conservation Systems, Markets, and Tourism activity (2015-2021), implemented by the Wildlife Conservation Society (WCS) in partnership with the Mozambique National Administration for Conservation Areas (ANAC). The activity will provide technical assistance to implement a co-management agreement with the Niassa Special Reserve; grants to Luwire and Chuilexi Wildlife Conservancies to support community-based natural resources management and alternative livelihoods; equipment, supplies, and rations to support counter-wildlife trafficking aerial, vehicle, and foot patrols by trained government rangers and locally-employed scouts; and environmental awareness activities to support stewardship of endangered wildlife, including African elephants, lions, and painted wolves. The intervention will build upon ECOSMART’s achievement of zero elephant poaching in Niassa Special Reserve since May 2018. With FY 2021 funds, the activity will: strengthen the capability of rangers to enforce conservation laws and regulations in partnership with a State/INL grant; mitigate human-wildlife conflict; strengthen community-based fire management in partnership with the US Forest Service (e.g., controlled burns and fire breaks); coordinate with concessionaires in the co-management of the reserve; and strengthen community-based natural resource management and sustainable livelihood opportunities. This activity will engage with conservation-friendly private safari operators, counter transnational criminal networks with aerial surveillance and ranger patrols, and promote the security and resilience of ecosystem services to political, economic, and natural shocks and stresses.\n","\nSPSD\nAccount\nMO\nProgram\nDirect Funding\nPO  Total\nTotal Funding\nEG.10.2 Biodiversity\nDA\nICS 08/15/2018 2.1\nNot Applicable\n$1,500,000\n-\n$1,500,000\nTOTAL\n$1,500,000\n-\n$1,500,000\n",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
